country,iso3,metric_id,latest_observation_year,latest_value,source_id,source_indicator_id,years_behind_metric_max
South Africa,ZAF,gdp_per_capita_current_usd,2025,6597.71450918774,world_bank_wdi,NY.GDP.PCAP.CD,0
Pakistan,PAK,gdp_per_capita_current_usd,2025,1595.90912252837,world_bank_wdi,NY.GDP.PCAP.CD,0
Czechia,CZE,gdp_per_capita_current_usd,2025,35917.2724081665,world_bank_wdi,NY.GDP.PCAP.CD,0
"Egypt, Arab Rep.",EGY,gdp_per_capita_current_usd,2025,3085.80712036204,world_bank_wdi,NY.GDP.PCAP.CD,0
"Iran, Islamic Rep.",IRN,gdp_per_capita_current_usd,2025,3924.38017821898,world_bank_wdi,NY.GDP.PCAP.CD,0
Chile,CHL,gdp_per_capita_current_usd,2025,17994.5911957485,world_bank_wdi,NY.GDP.PCAP.CD,0
Portugal,PRT,gdp_per_capita_current_usd,2025,32081.8106150292,world_bank_wdi,NY.GDP.PCAP.CD,0
Peru,PER,gdp_per_capita_current_usd,2025,9684.41170314988,world_bank_wdi,NY.GDP.PCAP.CD,0
Finland,FIN,gdp_per_capita_current_usd,2025,56148.580949046,world_bank_wdi,NY.GDP.PCAP.CD,0
Kazakhstan,KAZ,gdp_per_capita_current_usd,2025,14692.1331757237,world_bank_wdi,NY.GDP.PCAP.CD,0
Nigeria,NGA,gdp_per_capita_current_usd,2025,1224.25410237743,world_bank_wdi,NY.GDP.PCAP.CD,0
Algeria,DZA,gdp_per_capita_current_usd,2025,6051.00322704182,world_bank_wdi,NY.GDP.PCAP.CD,0
United States,USA,gdp_growth_pct,2025,2.16138195623856,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
China,CHN,gdp_growth_pct,2025,4.95994886240992,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Germany,DEU,gdp_growth_pct,2025,0.239578342117881,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Japan,JPN,gdp_growth_pct,2025,1.19311288444599,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
United Kingdom,GBR,gdp_growth_pct,2025,1.38844207858726,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
India,IND,gdp_growth_pct,2025,7.56666179284244,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
France,FRA,gdp_growth_pct,2025,0.840949955479587,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Russian Federation,RUS,gdp_growth_pct,2025,1.00117656925738,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Italy,ITA,gdp_growth_pct,2025,0.539583636778445,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Canada,CAN,gdp_growth_pct,2025,1.74268536175708,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Brazil,BRA,gdp_growth_pct,2025,2.2857464902475,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Spain,ESP,gdp_growth_pct,2025,2.82495400578509,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
"Korea, Rep.",KOR,gdp_growth_pct,2025,1.00701840291242,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Mexico,MEX,gdp_growth_pct,2025,0.561683456144578,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Australia,AUS,gdp_growth_pct,2025,1.35039785076631,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Turkiye,TUR,gdp_growth_pct,2025,3.60462514082589,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Indonesia,IDN,gdp_growth_pct,2025,5.10808904438025,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Netherlands,NLD,gdp_growth_pct,2025,1.78463214703797,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Saudi Arabia,SAU,gdp_growth_pct,2025,4.50246560191663,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Switzerland,CHE,gdp_growth_pct,2025,1.30007790958307,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Poland,POL,gdp_growth_pct,2025,3.5727250346774,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Belgium,BEL,gdp_growth_pct,2025,0.983117967125935,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Ireland,IRL,gdp_growth_pct,2025,12.3375990291434,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Argentina,ARG,gdp_growth_pct,2025,4.36733330217022,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Sweden,SWE,gdp_growth_pct,2025,1.54316373266217,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Israel,ISR,gdp_growth_pct,2025,2.93114966387968,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Singapore,SGP,gdp_growth_pct,2025,5.02588199508003,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Austria,AUT,gdp_growth_pct,2025,0.615747280959056,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Thailand,THA,gdp_growth_pct,2025,2.44247444990198,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Norway,NOR,gdp_growth_pct,2025,1.08528185031417,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
Viet Nam,VNM,gdp_growth_pct,2025,8.01882998978245,world_bank_wdi,NY.GDP.MKTP.KD.ZG,0
