metric_id,iso3,country,missing_year_ranges,missing_year_count
population,NGA,Nigeria,None,0
population,DZA,Algeria,None,0
inflation_cpi_pct,USA,United States,2025,1
inflation_cpi_pct,CHN,China,None,0
inflation_cpi_pct,DEU,Germany,None,0
inflation_cpi_pct,JPN,Japan,None,0
inflation_cpi_pct,GBR,United Kingdom,None,0
inflation_cpi_pct,IND,India,None,0
inflation_cpi_pct,FRA,France,None,0
inflation_cpi_pct,RUS,Russian Federation,1990-1992,3
inflation_cpi_pct,ITA,Italy,None,0
inflation_cpi_pct,CAN,Canada,None,0
inflation_cpi_pct,BRA,Brazil,None,0
inflation_cpi_pct,ESP,Spain,None,0
inflation_cpi_pct,KOR,"Korea, Rep.",None,0
inflation_cpi_pct,MEX,Mexico,None,0
inflation_cpi_pct,AUS,Australia,None,0
inflation_cpi_pct,TUR,Turkiye,None,0
inflation_cpi_pct,IDN,Indonesia,None,0
inflation_cpi_pct,NLD,Netherlands,None,0
inflation_cpi_pct,SAU,Saudi Arabia,None,0
inflation_cpi_pct,CHE,Switzerland,None,0
inflation_cpi_pct,POL,Poland,None,0
inflation_cpi_pct,BEL,Belgium,None,0
inflation_cpi_pct,IRL,Ireland,None,0
inflation_cpi_pct,ARG,Argentina,1990-2017; 2025,29
inflation_cpi_pct,SWE,Sweden,None,0
inflation_cpi_pct,ISR,Israel,None,0
inflation_cpi_pct,SGP,Singapore,None,0
inflation_cpi_pct,AUT,Austria,None,0
inflation_cpi_pct,THA,Thailand,None,0
inflation_cpi_pct,NOR,Norway,None,0
inflation_cpi_pct,VNM,Viet Nam,1990-1995,6
inflation_cpi_pct,PHL,Philippines,None,0
inflation_cpi_pct,MYS,Malaysia,None,0
inflation_cpi_pct,DNK,Denmark,None,0
inflation_cpi_pct,COL,Colombia,None,0
inflation_cpi_pct,BGD,Bangladesh,None,0
inflation_cpi_pct,ROU,Romania,1990,1
inflation_cpi_pct,HKG,"Hong Kong SAR, China",None,0
inflation_cpi_pct,ZAF,South Africa,None,0
inflation_cpi_pct,PAK,Pakistan,None,0
inflation_cpi_pct,CZE,Czechia,1990-1991,2
inflation_cpi_pct,EGY,"Egypt, Arab Rep.",None,0
inflation_cpi_pct,IRN,"Iran, Islamic Rep.",None,0
inflation_cpi_pct,CHL,Chile,None,0
inflation_cpi_pct,PRT,Portugal,None,0
inflation_cpi_pct,PER,Peru,None,0
inflation_cpi_pct,FIN,Finland,None,0
inflation_cpi_pct,KAZ,Kazakhstan,1990-1993,4
inflation_cpi_pct,NGA,Nigeria,None,0
inflation_cpi_pct,DZA,Algeria,None,0
unemployment_pct,USA,United States,1990,1
unemployment_pct,CHN,China,1990,1
unemployment_pct,DEU,Germany,1990,1
unemployment_pct,JPN,Japan,1990,1
unemployment_pct,GBR,United Kingdom,1990,1
unemployment_pct,IND,India,1990,1
unemployment_pct,FRA,France,1990,1
unemployment_pct,RUS,Russian Federation,1990,1
unemployment_pct,ITA,Italy,1990,1
unemployment_pct,CAN,Canada,1990,1
unemployment_pct,BRA,Brazil,1990,1
unemployment_pct,ESP,Spain,1990,1
unemployment_pct,KOR,"Korea, Rep.",1990,1
unemployment_pct,MEX,Mexico,1990,1
unemployment_pct,AUS,Australia,1990,1
unemployment_pct,TUR,Turkiye,1990,1
unemployment_pct,IDN,Indonesia,1990,1
unemployment_pct,NLD,Netherlands,1990,1
unemployment_pct,SAU,Saudi Arabia,1990,1
unemployment_pct,CHE,Switzerland,1990,1
unemployment_pct,POL,Poland,1990,1
unemployment_pct,BEL,Belgium,1990,1
unemployment_pct,IRL,Ireland,1990,1
unemployment_pct,ARG,Argentina,1990,1
unemployment_pct,SWE,Sweden,1990,1
unemployment_pct,ISR,Israel,1990,1
unemployment_pct,SGP,Singapore,1990,1
unemployment_pct,AUT,Austria,1990,1
unemployment_pct,THA,Thailand,1990,1
unemployment_pct,NOR,Norway,1990,1
unemployment_pct,VNM,Viet Nam,1990,1
unemployment_pct,PHL,Philippines,1990,1
unemployment_pct,MYS,Malaysia,1990,1
unemployment_pct,DNK,Denmark,1990,1
unemployment_pct,COL,Colombia,1990,1
unemployment_pct,BGD,Bangladesh,1990,1
unemployment_pct,ROU,Romania,1990,1
unemployment_pct,HKG,"Hong Kong SAR, China",1990,1
unemployment_pct,ZAF,South Africa,1990,1
unemployment_pct,PAK,Pakistan,1990,1
unemployment_pct,CZE,Czechia,1990,1
unemployment_pct,EGY,"Egypt, Arab Rep.",1990,1
unemployment_pct,IRN,"Iran, Islamic Rep.",1990,1
unemployment_pct,CHL,Chile,1990,1
unemployment_pct,PRT,Portugal,1990,1
unemployment_pct,PER,Peru,1990,1
unemployment_pct,FIN,Finland,1990,1
unemployment_pct,KAZ,Kazakhstan,1990,1
unemployment_pct,NGA,Nigeria,1990,1
unemployment_pct,DZA,Algeria,1990,1
central_government_debt_pct_gdp,USA,United States,2025,1
central_government_debt_pct_gdp,CHN,China,1990-2025,36
central_government_debt_pct_gdp,DEU,Germany,1991-2025,35
central_government_debt_pct_gdp,JPN,Japan,1990-2025,36
central_government_debt_pct_gdp,GBR,United Kingdom,2025,1
central_government_debt_pct_gdp,IND,India,2019-2025,7
central_government_debt_pct_gdp,FRA,France,1990-2025,36
central_government_debt_pct_gdp,RUS,Russian Federation,1990-1997; 2003-2004; 2025,11
central_government_debt_pct_gdp,ITA,Italy,1990; 1993-2025,34
central_government_debt_pct_gdp,CAN,Canada,2025,1
central_government_debt_pct_gdp,BRA,Brazil,1990-2009; 2025,21
central_government_debt_pct_gdp,ESP,Spain,2025,1
